AcresBurned,ArchiveYear,Counties,Extinguished,Injuries,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,SearchDescription,Started
257314,2013,Tuolumne,2013-09-06T18:30:00Z,,37.857,-120.086,FALSE,Rim Fire,,The Rim Fire was east of Groveland along Highway 20.,2013-08-17T15:25:00Z
30274,2013,Los Angeles,2013-06-08T18:30:00Z,,34.585595,-118.423176,FALSE,Powerhouse Fire,,The Powerhouse Fire burned in May and June 2013 on the Angeles National Forest in Los Angeles County. ,2013-05-30T15:28:00Z
27531,2013,Riverside,2013-07-30T18:00:00Z,,33.7095,-116.72885,FALSE,Mountain Fire,,The Mountain Fire burned in July 2013 off Highway 243 and Highway 74 near Mountain Center in Riverside County on the San Bernardino National Forest. ,2013-07-15T13:43:00Z
27440,2013,Placer,2013-08-30T08:00:00Z,,39.12,-120.65,FALSE,American Fire,,"The American Fire burned in August 2013 off Deadwood Ridge, northeast of Foresthill on the Tahoe National Forest in Placer County. ",2013-08-10T16:30:00Z
24251,2013,Ventura,2013-05-11T06:30:00Z,10,0,0,TRUE,Springs Fire,2167,"The Springs Fire burned in May 2013, Southbound Highway 101 at Camarillo Springs Road, Camarillo, in Ventura County. ",2013-05-02T07:01:00Z
22992,2013,Fresno,2013-09-24T20:15:00Z,,37.279,-119.318,FALSE,Aspen Fire,,The Aspen Fire burned in July 2013 seven miles north of Big Creek on the Sierra National Forest in Fresno County.,2013-07-22T22:15:00Z
20292,2013,Riverside,2013-08-12T18:00:00Z,26,33.86157,-116.90427,TRUE,Silver Fire,2106,"The Silver Fire burned in August 2013 off Poppet Flats Rd near Hwy 243, south of Banning in Riverside County. ",2013-08-07T14:05:00Z
14754,2013,Siskiyou,2013-08-31T06:45:00Z,,41.32,-123.176,FALSE,Salmon River Complex,,"The Salmon River Complex burned in July and August 2013 near North Fork of the Salmon River, West of Sawyers Bar, on Klamath National Forest in Siskiyou County. ",2013-07-31T22:00:00Z
12503,2013,Humboldt,2013-08-12T12:00:00Z,,41.035,-123.488,FALSE,Corral Complex,,The Corral Complex burned in August 2013 off Tish Tang Ridge east of Hoopa Valley Reservation on the Six Rivers National Forest in Humboldt County. ,2013-08-10T11:40:00Z
11429,2013,Tehama,2013-08-29T16:45:00Z,5,40.04263,-121.85397,TRUE,Deer Fire,898,"The Deer Fire burned in August near Deer Creek, 12 miles east of Los Molinos in Tehama County. ",2013-08-23T14:15:00Z
8073,2013,Shasta,2013-09-15T07:30:00Z,6,40.498332,-122.535496,TRUE,Clover Fire,342,"The Clover Fire burned September 2013 near the community of Igo, 10 miles southwest of Redding, in Shasta County.",2013-09-09T12:32:00Z
7055,2013,San Diego,2013-07-15T06:15:00Z,12,32.95435,-116.47381,TRUE,Chariot Fire,2147,"Chariot Fire burned in July 2013 off Sunrise Hwy, 9 miles southeast of Julian in San Diego County. ",2013-07-06T12:55:00Z
6965,2013,Tehama,2013-05-09T09:00:00Z,6,40.190062,-121.595555,TRUE,Panther Fire,1811,"The Panther Fire burned in May 2013, off the 140K3 Line, 8 miles northwest of Butte Meadows in Butte County. ",2013-05-01T09:12:00Z
4346,2013,Kern,2013-05-21T19:45:00Z,4,34.7861,-118.9411,TRUE,Grand Fire,847,"The Grand Fire burned in May 2013, South of Frazier Mountain Park Rd, South of Frazier Park on the USFS Los Padres National Forest in Kern and Ventura County. ",2013-05-15T12:50:00Z
4346,2013,Ventura,2013-05-21T19:45:00Z,4,34.7861,-118.9411,TRUE,Grand Fire,847,"The Grand Fire burned in May 2013, South of Frazier Mountain Park Rd, South of Frazier Park on the USFS Los Padres National Forest in Kern and Ventura County. ",2013-05-15T12:50:00Z
3505,2013,Sonoma,2013-11-27T18:15:00Z,6,38.8167,-122.8498,TRUE,McCabe Fire,188,"The McCabe Fire is burning in The Geysers area, east of Cloverdale, Sonoma County.",2013-11-22T02:04:00Z
3166,2013,Riverside,2013-05-04T18:30:00Z,2,34.288877,-116.941311,TRUE,Summit Fire,726,The Summit Fire burned in May 2013 near Mias Canyon and Bluff Road in Banning in Riverside County. ,2013-05-01T12:38:00Z
3111,2013,Contra Costa,2013-09-14T17:30:00Z,,37.90757,-121.882582,TRUE,Morgan Fire,231,"The Morgan Fire burned September 2013 off of Morgan Territory Road, southeast of Clayton, in Contra Costa County.",2013-09-08T13:08:00Z
2781,2013,San Diego,2013-05-26T17:45:00Z,5,33.12111,-116.52579,TRUE,San Felipe Fire,911,"The San Felipe Fire burned in May 2013, off San Felipe Road, north of Highway 78, East of Julian in San Diego County. ",2013-05-23T12:20:00Z
2462,2013,Butte,2013-08-22T18:00:00Z,5,39.446268,-121.38236,TRUE,Swedes Fire,1484,The Swedes Fire burned in August 2013 southeast of Oroville in Butte County. ,2013-08-16T16:37:00Z
2236,2013,San Diego,2013-10-09T19:00:00Z,,33.341,-117.3092,FALSE,DeLuz Fire,,"The DeLuz Fire burned 2,236 acres in October 2013 on Camp Pendleton Marine Corps Base, east of Fallbrook in San Diego County,",2013-10-05T12:45:00Z
2060,2013,Tulare,2013-09-24T20:15:00Z,,36.208,-118.444,FALSE,Fish Fire,,The Fish Fire burned August 2013 in the Golden Trout Wilderness on the Sequoia National Forest in Tulare County.,2013-08-24T14:31:00Z
1984,2013,Santa Barbara,2013-05-30T19:30:00Z,,34.55048,-119.82429,FALSE,White Fire,,"The White Fire burned in May 2013, Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez on the Los Padres National Forest in Santa Barbara County. ",2013-05-27T14:45:00Z
1708,2013,Mariposa,2013-06-26T11:15:00Z,1,37.58202,-119.91071,TRUE,Carstens Fire,112,"The Carstens Fire started in June 2013 off Carstens Road, east of 140 in the Midpines area in Mariposa County.",2013-06-16T14:12:00Z
1383,2013,Riverside,2013-08-09T18:45:00Z,,33.62236,-117.40288,FALSE,Falls Fire,,"The Falls Fire burned in August 2013 near Oretga Highway, west of Lake Elsinoire on the Cleveland National Forest in Riverisde County. ",2013-08-05T10:10:00Z
1271,2013,San Diego,2013-05-31T06:15:00Z,6,33.04458,-116.5209,TRUE,General Fire,1217,"The General Fire burned in May 2013, in the Banner Grade area south of Highway 78 and east of Highway 79, in San Diego County.",2013-05-26T12:04:00Z
1070,2013,Tuolumne,2013-08-14T08:30:00Z,,38.25108,-120.02778,FALSE,Power Fire,,"The Power Fire burned in August 2013 near Beardsley Lake, northeast of Sonora on the Stanislaus National Forest in Tuolumne County. ",2013-08-05T06:00:00Z
917,2013,Monterey,2013-12-20T20:00:00Z,,0,0,FALSE,Pfeiffer Fire,,The Pfeiffer Fire off Pfeiffer Ridge Road and Highway 1 near Big Sur was 917 acres.,2013-12-16T00:20:00Z
794,2013,Kern,2013-08-24T13:45:00Z,,35.707,-118.588,FALSE,Shirley Fire,,The Shirley Fire burned in August 2013 off Lower Kern River Canyon area off Highway 178 on Sequoia National Forest in Kern County. ,2013-08-18T23:12:00Z
712,2013,Kern,2013-07-22T18:45:00Z,5,34.882,-118.9194,TRUE,Rancho Fire,502,"The Rancho Fire burned July 2013 west of I-5 in Lebec, in Kern County.",2013-07-19T12:00:00Z
712,2013,Los Angeles,2013-05-18T19:00:00Z,,34.49149,-118.610044,FALSE,Lake Fire,,"The Lake Fire burned in May 2013 off I-5 Southbound at Lake Hughes Road, in Los Angeles County. ",2013-05-17T13:23:00Z
612,2013,Kern,2013-07-25T18:30:00Z,,34.90327,-118.93388,FALSE,Water Fire,,The Water Fire burned in July 2013 on the west side of Interstate 5 at Tejon Ranch in Kern County. ,2013-07-23T09:15:00Z
572,2013,El Dorado,2013-07-11T18:30:00Z,,38.774,-120.298,FALSE,Kyburz Fire,,The Kyburz Fire burned in July 2013 off Highway 50 at 30 Mile Tract in Kyburz on the El Dorado National Forest. ,2013-07-08T12:45:00Z
